OBJECTID,MPD_ARREST_NUMBER,MPD_ARREST_DATE,PERSON_TYPE,TOP_CHARGE,MPD_CHARGE_CATEGORY,MPD_CHARGE_DESCRIPTION,CHARGE_CODE,AGE,ARREST_COUNT,RACE,ETHNICITY,SEX,HOME_PSA,ARREST_DISTRICT,ARREST_PSA,HOME_CITY,HOME_STATE,PDID,CCN,LATITUDE,LONGITUDE,DMPSJ_CATEGORY,YEAR,MONTH,IS_MARIJUANA,CREATOR,CREATED,EDITOR,EDITED,GLOBALID
1,64551365258571902930039588528689097494,2016/01/01 01:00:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Felon In Possession,22DC4503A2,33,5,Black,Unknown,Male,505,6D,608,WASHINGTON,DC,334625535977470936276860019452397395281,114304768070504194473359753364436807311,38.894,-76.923,Weapons,2016,1,FALSE,,,,,{8AC81FCA-7780-42B7-8A8A-095351DB1501}
2,68092236399555456025451712537326114312,2016/01/01 01:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,32,5,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,75880052022486052865026243985292297491,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,FALSE,,,,,{19E290DF-648E-4A25-95B5-2091F6EC488E}
3,68092236399555456025451712537326114312,2016/01/01 01:00:00,DEFENDANT IN ARREST,nan,Narcotics,Poss W/i To Dist Marijuana-fel,48DC904.01A1A2B-V,32,5,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,75880052022486052865026243985292297491,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,TRUE,,,,,{959248FC-7C6A-438F-AB76-8CAFE9EAF79D}
4,82612791926564795381351312606615407664,2016/01/01 01:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,41,8,Black,Unknown,Male,704,6D,608,WASHINGTON,DC,6259927930156597324409950957773751713,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,FALSE,,,,,{D2792319-78D9-4364-AC1E-B804EFB92BDB}
5,82612791926564795381351312606615407664,2016/01/01 01:00:00,DEFENDANT IN ARREST,nan,Narcotics,Poss W/i To Dist Marijuana-fel,48DC904.01A1A2B-V,41,8,Black,Unknown,Male,704,6D,608,WASHINGTON,DC,6259927930156597324409950957773751713,114304768070504194473359753364436807311,38.894,-76.923,Drugs,2016,1,TRUE,,,,,{F9398A52-C6D4-4724-8C91-23E731E89458}
6,301352625139170994662033597092159464487,2016/01/01 01:10:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,27,14,Black,Unknown,Male,704,7D,704,WASHINGTON,DC,23595373087958630430394416763734360330,71817949660193434317010606194045283625,38.846,-76.972,Weapons,2016,1,FALSE,,,,,{60E8C489-0131-42EB-A35A-41935EA46CDF}
7,66469012341172213942396619538503520396,2016/01/01 03:02:00,DEFENDANT IN ARREST,Yes,Motor Vehicle Theft,Theft First Degree (Stolen Auto),22DC3211,22,0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,505,CLINTON,MD,114374307792129851187634019955659074645,171144974980921121539571373058488756881,38.92,-76.978,Theft,2016,1,FALSE,,,,,{632AB883-151A-4152-84D5-9DF53F062CF8}
8,66469012341172213942396619538503520396,2016/01/01 03:02:00,DEFENDANT IN ARREST,nan,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,22,0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,505,CLINTON,MD,114374307792129851187634019955659074645,171144974980921121539571373058488756881,38.92,-76.978,Vehicle,2016,1,FALSE,,,,,{800E6E3A-E487-4543-98D0-A04650958EA5}
9,147213074930868466259944557696523986670,2016/01/01 04:30:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Unlawful Poss Ammunition,7DC2506.01,29,6,Black,Not Hispanic Or Latino,Male,702,4D,403,WASHINGTON,DC,60136299027990461477517351302420164210,38323542405284540145183310316632891984,38.954,-77.022,Weapons,2016,1,FALSE,,,,,{CB671B6A-D3E3-4CF7-83D9-0B84DFA556E6}
10,315488757274888787859061244538105554235,2016/01/01 05:48:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,25,0,Unknown,Not Hispanic Or Latino,Female,OUT OF STATE,4D,409,HYATTSVILLE,MD,203476191573353171569619598099161620892,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,FALSE,,,,,{2D139C76-FE69-4985-81BD-11A301420E4E}
11,7067138761925367486175262972267688137,2016/01/01 05:48:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,26,0,Unknown,Hispanic Or Latino,Male,409,4D,409,WASHINGTON,DC,116330252325032660865407759952068835293,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,FALSE,,,,,{FA785479-BEDA-4F33-ADFA-A0B16367B556}
12,225879470851065918314378564092007643410,2016/01/01 05:48:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,28,5,Unknown,Hispanic Or Latino,Male,409,4D,409,WASHINGTON,DC,198072470099410570086437799000361741367,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,FALSE,,,,,{64961C00-3685-4537-AB9C-48DAAFBFDB12}
